Date; Montly Sales ;Company;Customer Name
2018/03/01;420;none;Grimms Auto Shop
2018/03/01;5880;none;Burger and Wallace
2018/03/01;5880;none;Civils 2000 Plant Hire CC
2018/03/01;14340;none;Hitachi Construction Machinery SA Co. Ltd.
2018/03/01;24860;none;Ideas Solutions
2018/03/01;27932;none;Power Construction (Pty) Ltd
2018/03/06;420;none;Afrimat Contracting International (Pty) Ltd
2018/03/06;1470;none;Caudwell Marine
2018/03/06;1470;none;Landscapers Choice
2018/03/06;1470;none;Martin & East (Pty) Ltd
2018/03/06;1470;none;Martin & East (Pty) Ltd
2018/03/06;1470;none;Western Cape Diesel Technology (Pty) Ltd
2018/03/06;2741;none;Komatsu South Africa (Pty) Ltd.
2018/03/06;2940;none;Lube Marketing (Pty) Ltd - Paarden Eiland
2018/03/06;2940;none;Martin & East (Pty) Ltd
2018/03/06;2940;none;Tronox Namakwa Sands
2018/03/06;2940;none;Unitrans Supply Chain Solution (Pty) Ltd
2018/03/06;3335;none;RK8 Offshore Shipmanagement (Pte) Ltd
2018/03/06;5736;none;Hitachi Construction Machinery SA Co. Ltd.
2018/03/06;5880;none;Witels Verhuring (Pty) Ltd
2018/03/06;8820;none;Tronox Namakwa Sands
2018/03/06;17208;none;Hitachi Construction Machinery SA Co. Ltd.
2018/03/07;420;none;Bidvest McCarthy Volkswagen Parow
2018/03/08;-840;none;Industrial Trading Portal (Pty) Ltd
2018/03/08;420;none;UMSO construction (Pty) Ltd
2018/03/08;1040;none;Marina Nortje
2018/03/08;1470;none;Interflon
2018/03/08;2940;none;Hydrocarbon Solutions
2018/03/08;4410;none;Martin & East (Pty) Ltd
2018/03/08;4410;none;New Era PP Sacks (BOP) (Pty) Ltd t/a Gayatri Paper Western Cape
2018/03/08;5786;none;Great Karoo Crushing (Pty) Ltd (trading as Haw-lnglis)
2018/03/08;5880;none;South African Maritime Safety Authority
2018/03/08;11760;none;Sylco Plant Hire (Pty) Ltd
2018/03/08;14739;none;Hitachi Construction Machinery SA Co. Ltd.
2018/03/08;16200;none;Essex Lubra (Pty) Ltd
2018/03/09;420;none;Toyota Beaufort West
2018/03/09;1470;none;Martin & East (Pty) Ltd
2018/03/09;1470;none;Martin & East (Pty) Ltd
2018/03/09;1505;none;Rotating Equipment Monitoring (Pty) Ltd
2018/03/09;1719;none;Rotating Equipment Monitoring (Pty) Ltd
2018/03/09;14700;none;TMS International South Africa (Pty) Ltd
2018/03/09;15259;none;Hitachi Construction Machinery SA Co. Ltd.
2018/03/09;29400;none;AfrEquip (Pty) Ltd.
2018/03/12;2940;none;Afripower (Pty) Ltd (trading as Hytec)
2018/03/13;5880;none;Averda
2018/03/13;5880;none;WP CHIPPER HIRE & SALES CC t/a AFRICA BIOMASS COMPANY
2018/03/13;14700;none;Chevron South Africa (Pty) Ltd
2018/03/14;2940;none;Martin & East (Pty) Ltd
2018/03/14;5786;none;Great Karoo Crushing (Pty) Ltd (trading as Haw-lnglis)
2018/03/15;294;none;Fernando Meyer
16/03/2018;245;none;Ian Kennedy
16/03/2018;420;none;Ceratex
16/03/2018;1287;none;RK8 Offshore Shipmanagement (Pte) Ltd
16/03/2018;1470;none;NH3 Refrigeration
16/03/2018;2940;none;Esco Civils (Pty) Ltd
16/03/2018;2940;none;True Lubricants & Suppliers CC
16/03/2018;2940;none;Yellow Plant Specialist (PTY) LTD
16/03/2018;3312;none;RK8 Offshore Shipmanagement (Pte) Ltd
16/03/2018;5786;none;Great Karoo Crushing (Pty) Ltd (trading as Haw-lnglis)
16/03/2018;5880;none;Flac Filtration Services
16/03/2018;5880;none;UMSO construction (Pty) Ltd
16/03/2018;14340;none;Hitachi Construction Machinery SA Co. Ltd.
16/03/2018;15259;none;Hitachi Construction Machinery SA Co. Ltd.
19/03/2018;2940;none;IQ Oil Filtration CC
19/03/2018;26014;none;Benhaus Mining Services (Pty) Ltd
20/03/2018;1470;none;Alliance Oil
20/03/2018;1470;none;Hydraulic tools (Pty) Ltd
20/03/2018;2940;none;IMP Laboratory Management Services (Pty) Ltd
20/03/2018;5880;none;Maxilube CC
22/03/2018;840;none;DHT Holding Africa (Trading as Cisco)
22/03/2018;1260;none;Kayla Africa Suppliers & Distributors cc
22/03/2018;2940;none;Hydrocarbon Solutions
22/03/2018;5880;none;Unitrans Supply Chain Solution (Pty) Ltd
22/03/2018;8820;none;JHL Machine Hire
22/03/2018;14700;none;Black Mountain Mining (Pty) Ltd
22/03/2018;14700;none;High Power Equipment Africa (Pty) Ltd
22/03/2018;14739;none;Hitachi Construction Machinery SA Co. Ltd.
22/03/2018;22138;none;Martin & East (Pty) Ltd
23/03/2018;420;none;Riaan's Auto Repairs CC
23/03/2018;734;none;Mr. Ingo Steinhage
23/03/2018;7350;none;The South African Breweries (Pty) Ltd
23/03/2018;14700;none;Afrimat Aggregates (Operations) (Pty) Ltd
23/03/2018;14700;none;Sitona
23/03/2018;28680;none;Hitachi Construction Machinery SA Co. Ltd.
2018/03/26;77;none;Two Ships Filtration (Pty) Ltd
2018/03/26;420;none;Nano Energy Africa
2018/03/26;420;none;Swartland Logistics
2018/03/26;3515;none;De Beers Group Services P/L
2018/03/26;7184;none;De Beers Group Services P/L
2018/03/28;420;none;Eco Energy CC
2018/03/28;1470;none;Compass Trawling (Pty) Ltd
2018/03/28;1470;none;South End Lubricants
2018/03/28;2940;none;C.T.C Plant Company (Pty) Ltd
2018/03/28;5880;none;Blue Continent Products (Pty) Lt
2018/03/28;5880;none;Martin & East (Pty) Ltd
2018/03/28;5880;none;UMSO construction (Pty) Ltd
2018/03/28;14700;none;TMS International South Africa (Pty) Ltd
2018/03/28;17640;none;Irvin & Johnson Limited
2018/03/28;17640;none;Perfect Filtration (Pty) Ltd
2018/03/28;32887;none;Komatsu South Africa (Pty) Ltd.
2018/03/28;46339;none;Condition Monitoring Specialists (Pty) Ltd
2018/03/29;1470;none;Balancing Shop
2018/03/31;1911;none;HCS Hydrocarbon Solutions LLC (Kleen Oils)
2018/03/31;7394;none;Tradeon CC
2018/04/03;2940;none;Alliance Oil
2018/04/03;5880;none;Black Mountain Mining (Pty) Ltd
2018/04/04;2940;none;Western Cape Lubricants (Pty) Ltd
2018/04/04;5880;none;SOS Oil & Lubricant Distributors (Pty) Ltd
2018/04/04;5880;none;Tronox Namakwa Sands
2018/04/04;16200;none;Essex Lubra (Pty) Ltd
2018/04/05;2940;none;Afripower (Pty) Ltd (trading as Hytec)
2018/04/05;5880;none;Civils 2000 Plant Hire CC
2018/04/05;14340;none;Hitachi Construction Machinery SA Co. Ltd.
2018/04/05;17648;none;Martin & East (Pty) Ltd
2018/04/06;150;none;Eskom Holding Ltd (Koeberg)
2018/04/06;1470;none;Motorite Administrators (Pty) Ltd
2018/04/06;2940;none;African Marine Solutions Group (Pty) Ltd
2018/04/06;2940;none;Dolphin Offshore Chandling (Pty) Ltd
2018/04/06;2940;none;Rotating Equipment Monitoring (Pty) Ltd
2018/04/06;3050;none;International George (Trading as Adstock Traders CC)
2018/04/06;8351;none;RK8 Offshore Shipmanagement (Pte) Ltd
2018/04/06;8351;none;RK8 Offshore Shipmanagement (Pte) Ltd
2018/04/06;26014;none;Benhaus Mining Services (Pty) Ltd
2018/04/06;49720;none;Ideas Solutions
2018/04/09;420;none;T & T Concrete (Pty) Ltd
2018/04/10;350;none;Total
2018/04/10;420;none;Oostenberg Technical Services
2018/04/10;533;none;Brandwacht Diesel & Turbo
2018/04/10;2940;none;Interflon
2018/04/10;2940;none;United Lubricants
2018/04/10;5880;none;Filter Focus SA (Pty) Ltd
2018/04/10;5880;none;Tronox Namakwa Sands
2018/04/10;14310;none;RCL Foods Sugar and Milling (Pty) Ltd
2018/04/10;14700;none;TMS International South Africa (Pty) Ltd
2018/04/11;2940;none;African Marine Solutions Group (Pty) Ltd
2018/04/11;2940;none;Hydrocarbon Solutions
2018/04/12;420;none;Bermar Hydraulics CC
2018/04/12;1470;none;Moov Fuel (Pty) Ltd
2018/04/12;1590;none;Apollo Air CC
2018/04/12;2893;none;Great Karoo Crushing (Pty) Ltd (trading as Haw-lnglis)
2018/04/12;2940;none;Afrimat Contracting International (Pty) Ltd
2018/04/12;5880;none;WBHO Construction (Pty) Ltd
2018/04/12;28680;none;Hitachi Construction Machinery SA Co. Ltd.
2018/04/12;29400;none;Afrimat Aggregates (Operations) (Pty) Ltd
2018/04/13;420;none;Paul Beachy Head (Belmont)
2018/04/13;1470;none;Western Cape Diesel Technology (Pty) Ltd
2018/04/13;2940;none;African Marine Solutions Group (Pty) Ltd
2018/04/13;4410;none;African Marine Solutions Group (Pty) Ltd
2018/04/13;4940;none;IQ Oil Filtration CC
2018/04/13;14700;none;The South African Breweries (Pty) Ltd
2018/04/16;399;none;Hitachi Construction Machinery SA Co. Ltd.
2018/04/16;2940;none;GW Base and Industrial Minerals
2018/04/16;14700;none;Moreson Grondverskuiwers
2018/04/17;2940;none;Witels Verhuring (Pty) Ltd
2018/04/17;5880;none;High Power Equipment Africa (Pty) Ltd
2018/04/17;16201;none;Martin & East (Pty) Ltd
2018/04/17;27030;none;Wang Peiguo
2018/04/18;52;none;Martin & East (Pty) Ltd
2018/04/18;1470;none;Peninsula Power Products (Pty) Ltd
2018/04/18;1650;none;Cadcon (Pty) Ltd
2018/04/18;2940;none;Atlantis Sand Sales CC
2018/04/18;3500;none;IQ Oil Filtration CC
2018/04/18;5880;none;Alfapower
2018/04/18;8820;none;UMSO construction (Pty) Ltd
2018/04/18;14700;none;The South African Breweries (Pty) Ltd
2018/04/18;48360;none;Condition Monitoring Specialists (Pty) Ltd
2018/04/19;420;none;Kabamakgopa Engineering Drives
2018/04/19;1470;none;Fairbrother Geotechnical Engineering CC
2018/04/19;2940;none;JVZ Plant CC
2018/04/19;2968;none;Latitude Technologies CC
2018/04/19;3360;none;CBS Plant (Pty) Ltd
2018/04/19;14340;none;Hitachi Construction Machinery SA Co. Ltd.
2018/04/19;43419;none;Hitachi Construction Machinery SA Co. Ltd.
2018/04/20;267;none;Brandwacht Diesel & Turbo
